Produit,Année,Rendement_kg_ha,T2M,PRECTOTCORR,RH2M,GWETROOT,Valeur_Ajoutee_Agricole,Rendement_Relatif,Anomalie_T2M,Anomalie_Precip,Indice_Stress_Climatique
Noix de karite,2021,3620.2873057239417,26.389065688174686,133.80808337879415,78.59127476646754,0.6914031589934638,792777008163.4614,0.8667978842955358,0.43361000702756014,129.4514396845722,0.07643158285535576
Patates douces,2017,3661.6663489709294,25.787109957170923,-25.134808289660523,77.00184584978298,0.659614580659773,854682948881.0905,1.0265714641062353,-0.1683457239762005,-29.491451983882477,0.004895997099524137
"Tomates, fraiches",2018,4110.471021047022,27.111272065388157,-44.78671035321377,76.80532682914745,0.6556842002470623,850080756007.5116,0.9678806963919427,1.155816384241031,-49.14335404743573,0.07645585269212699
"Café, vert",2022,463.44847127253996,26.32126900630478,-45.158298021067445,76.80161095246892,0.6556098827134915,840427179134.1431,0.9730406945954507,0.36581332515765586,-49.5149417152894,0.01649788725541907
Sésame,2013,255.22724382967175,26.582936870650716,-153.0710439632031,75.72248349304756,0.6340273335250645,743130063960.8652,0.7814407873675951,0.6274811895035903,-157.42768765742505,0.11882053952369714
"Racines et tubercules similaires à haute teneur en fécule ou en inuline, n.c.a., fraîches",2016,4662.381789941682,25.04245515080524,97.2422336587821,78.2256162692674,0.6840899890494615,791789703044.3148,0.8930017133612644,-0.9130005303418859,92.88558996456014,0.07618942971248582
Graines de ricin,2013,57.054128934798634,26.25923107393826,-266.01395647814286,74.59305436789816,0.6114387510220765,724501073156.3003,0.7195728144803639,0.3037753927911351,-270.3706001723648,0.2970150202135294
Fonio,2012,812.8794404786045,25.95223052807918,129.36143101808182,78.54680824286041,0.6905138285213214,840256687279.4115,0.9777740498926422,-0.003225153067945639,125.00478732385986,0.06250530749614931
"Manioc, frais",2020,2758.083632956412,26.145903605296024,-280.1459802613591,74.451734130066,0.6086123462654333,741963272615.7424,0.7011779923621233,0.19044792414889963,-284.50262395558104,0.32558049274107426
Haricots secs,2018,389.63343745144334,25.249372508836476,-267.7474577243539,74.57571935543605,0.6110920507728342,741584653451.6678,0.7388594713687007,-0.7060831723106484,-272.10410141857585,0.3210902403462559
Riz,2010,1761.3280869726061,25.01809830217624,-37.853878648824534,76.87465514619134,0.6570707665879402,856973962428.6024,1.0402089862166948,-0.9373573789708849,-42.21052234304649,0.051058855581449666
Fèves de soja,2021,695.5651462505156,24.935973214977686,156.7063895323481,78.82025782800307,0.6959828202241747,790796164987.6611,0.850150922286228,-1.019482466169439,152.34974583812615,0.1448090051691126
"Manioc, frais",2022,3849.085571703148,25.648474778262845,84.27365847257306,78.09593051740532,0.6814962740122197,856647883565.5603,0.9785396140086814,-0.3069809028842798,79.9170147783511,0.030258780741115134
"Huile, noix de palme",2021,7909.048785324083,26.189241501150036,151.40709701136717,78.76726490279326,0.6949229617199785,818354501350.7809,0.9219581574151079,0.23378582000291007,147.0504533171452,0.08922813376483325
Fonio,2019,823.1739342455429,25.625670963080417,-50.35856809554255,76.74960825172417,0.6545698286985966,838136562252.6859,0.9901568072375291,-0.3297847180667101,-54.71521178976451,0.017412915618312114
"Noix de muscade, fleur de muscade, cardamomes, crues",2022,1030.9867872920531,25.6110639516297,35.83080846619612,77.61150201734155,0.6718077040109443,873919679355.4171,1.0083986573670316,-0.3443917295174249,31.47416477197416,0.009892775360373675
